IT Tower;Service Family;Service Type;Service Sub Type;Service Usage Type;Meter Category;Meter Sub-Category;Meter Name;Consumed Service;[AdditionalInfo]
Data;Analytics;OLAP / BI;Analysis Services;Capacity / Hours;Analysis Services;Tabular;Standard S%;Microsoft.AnalysisServices;
Data;Analytics;OLAP / BI;Analysis Services;Capacity / Hours;Analysis Services;Tabular;Basic B%;Microsoft.AnalysisServices;
Data;Analytics;OLAP / BI;Analysis Services;Capacity / Hours;Analysis Services;Tabular;Developer (Hours);Microsoft.AnalysisServices;
Data;Analytics;OLAP / BI;Analysis Services;Capacity / Hours;Azure Analysis Services;Basic;B%;Microsoft.AnalysisServices;
Data;Analytics;OLAP / BI;Analysis Services;Capacity / Hours;Azure Analysis Services;Developer;Developer;Microsoft.AnalysisServices;
Data;Analytics;OLAP / BI;Analysis Services;Capacity / Hours;Azure Analysis Services;Standard;S%;Microsoft.AnalysisServices;
Data;Integration;ETL;Data Factory;Pipeline / Activity;Azure Data Factory;v2;Data Movement Self Hosted IR;Microsoft.DataFactory;
Data;Integration;ETL;Data Factory;Pipeline / Activity;Azure Data Factory;v2;Orchestration Self Hosted IR;Microsoft.DataFactory;
Data;Integration;ETL;Data Factory;Pipeline / Activity;Azure Data Factory;v2;%;Microsoft.DataFactory;
Data;Integration;ETL;Data Factory;Pipeline / Activity;Azure Data Factory;v2;Data Movement Cloud IR;Microsoft.DataFactory;
Data;Integration;ETL;Data Factory;Pipeline / Activity;Azure Data Factory;v2;Orchestration Cloud IR;Microsoft.DataFactory;
Data;Integration;ETL;Data Factory;Pipeline / Activity;Azure Data Factory;v2;SSIS STD D4 v2;Microsoft.DataFactory;
Other;Other;Other;Other;Other;Azure Database for PostgreSQL;;;Microsoft.DBforMyQL;
Data;Databases;Relational DB;Managed Database;vCore / Storage;Azure Database for PostgreSQL;;;Microsoft.DBforPostgreSQL;
Data;Integration;ETL;Data Factory;Pipeline / Activity;Business Analytics;Data Factory;Data Movement Cloud;Microsoft.DataFactory;
Data;Integration;ETL;Data Factory;Pipeline / Activity;Business Analytics;Data Factory;Data Movement On Premises;Microsoft.DataFactory;
Data;Caching;In-Memory Cache;Redis Cache;Capacity;Cache;Azure Redis Cache;;Microsoft.Cache;
Data;Caching;In-Memory Cache;Redis Cache;Capacity;Redis Cache;;C%;Microsoft.Cache;
Data;Caching;In-Memory Cache;Redis Cache;Capacity;Redis Cache;;___C%;Microsoft.Cache;
Network;Content Delivery;CDN;Traffic;Data Transfer;CDN;CDN;Standard CDN Data Transfer%;Microsoft.Cdn;
Network;Content Delivery;CDN;Traffic;Data Transfer;Content Delivery Network;Azure CDN%;%Data Transfer;Microsoft.Cdn;
Compute;Virtual Compute;Batch / VM;Compute;vCPU / Hours;Cloud Services;Reservation;%License;Microsoft.Batch;
Compute;Virtual Compute;Batch / VM;Compute;vCPU / Hours;Cloud Services;A%;Compute Hours;Compute;
Compute;Virtual Compute;Batch / VM;Compute;vCPU / Hours;Cloud Services;D%;Compute Hours;Compute;
Compute;Virtual Compute;Batch / VM;Compute;vCPU / Hours;Cloud Services;F%;Compute Hours;Compute;
Compute;Virtual Compute;Batch / VM;Compute;vCPU / Hours;Cloud Services;G%;Compute Hours;Compute;
Compute;Virtual Compute;Batch / VM;Compute;vCPU / Hours;Cloud Services;H%;Compute Hours;Compute;
Compute;Virtual Compute;Batch / VM;Compute;vCPU / Hours;Cloud Services;N%;Compute Hours;Compute;
Other;Other;Other;Other;Other;Data Box;;;Microsoft.DataBox;
Security;Secrets Management;Key Vault;Keys / Secrets;Operations;Key Vault;;;Microsoft.KeyVault;
Other;Other;Other;Other;Other;Scheduler;Scheduler;Free Scheduler Units;;
Other;Other;Other;Other;Other;Scheduler;Scheduler;Standard Scheduler Units;;
Application;Automation;Scheduler;Jobs;Executions;Scheduler;;Free Unit;Microsoft.Scheduler;
Application;Automation;Scheduler;Jobs;Executions;Scheduler;;Standard Unit;Microsoft.Scheduler;
Security;Monitoring & SIEM;SIEM;Sentinel;Data Ingest;Sentinel;;Free Trial;microsoft.operationalinsights;
Security;Monitoring & SIEM;SIEM;Sentinel;Data Ingest;Sentinel;;Analysis;microsoft.operationalinsights;